[0.0]	[-0.011]
[116.5]	[20.199]
[116.6]	[20.216]
[116.7]	[20.233]
[116.8]	[20.250]
[116.9]	[20.267]
[117.0]	[20.284]
[117.1]	[20.302]
[117.2]	[20.319]
[117.3]	[20.336]
[117.4]	[20.353]
[117.5]	[20.370]
[117.6]	[20.387]
[117.7]	[20.404]
[117.8]	[20.421]
[117.9]	[20.438]
[118.0]	[20.455]
[118.1]	[20.472]
[118.2]	[20.489]
[118.3]	[20.506]
[118.4]	[20.523]
[118.5]	[20.540]
[118.6]	[20.557]
[118.7]	[20.574]
[118.8]	[20.591]
[118.9]	[20.608]
[119.0]	[20.625]
[119.1]	[20.642]
[119.2]	[20.659]
[119.3]	[20.676]
[119.4]	[20.693]
[119.5]	[20.710]
[119.6]	[20.727]
[119.7]	[20.744]
[119.8]	[20.761]
[119.9]	[20.778]
[120.0]	[20.795]
[120.1]	[20.812]
[120.2]	[20.829]
[120.3]	[20.846]
[120.4]	[20.863]
[120.5]	[20.880]
[120.6]	[20.897]
[120.7]	[20.914]
[120.8]	[20.931]
[120.9]	[20.948]
[121.0]	[20.965]
[121.1]	[20.982]
[121.2]	[20.999]
[121.3]	[21.016]
[121.4]	[21.033]
[121.5]	[21.050]
[121.6]	[21.067]
[121.7]	[21.084]
[121.8]	[21.100]
[121.9]	[21.117]
[122.0]	[21.134]
[122.1]	[21.151]
[122.2]	[21.168]
[122.3]	[21.185]
[122.4]	[21.202]
[122.5]	[21.219]
[122.6]	[21.236]
[122.7]	[21.253]
[122.8]	[21.269]
[122.9]	[21.286]
[123.0]	[21.303]
[123.1]	[21.320]
[123.2]	[21.337]
[123.3]	[21.354]
[123.4]	[21.371]
[123.5]	[21.388]
[123.6]	[21.404]
[123.7]	[21.421]
[123.8]	[21.438]
[123.9]	[21.455]
[124.0]	[21.472]
[124.1]	[21.489]
[124.2]	[21.505]
[124.3]	[21.522]
[124.4]	[21.539]
[124.5]	[21.556]
[124.6]	[21.573]
[124.7]	[21.590]
[124.8]	[21.606]
[124.9]	[21.623]
[125.0]	[21.640]
[125.1]	[21.657]
[125.2]	[21.674]
[125.3]	[21.690]
[125.4]	[21.707]
[125.5]	[21.724]
[125.6]	[21.741]
[125.7]	[21.757]
[125.8]	[21.774]
[125.9]	[21.791]
[126.0]	[21.808]
[126.1]	[21.824]
[126.2]	[21.841]
[126.3]	[21.858]
[126.4]	[21.875]
[126.5]	[21.891]
[126.6]	[21.908]
[126.7]	[21.925]
[126.8]	[21.942]
[126.9]	[21.958]
[127.0]	[21.975]
[127.1]	[21.992]
[127.2]	[22.008]
[127.3]	[22.025]
[127.4]	[22.042]
[127.5]	[22.059]
[127.6]	[22.075]
[127.7]	[22.092]
[127.8]	[22.109]
[127.9]	[22.125]
[128.0]	[22.142]
[128.1]	[22.159]
[128.2]	[22.175]
[128.3]	[22.192]
[128.4]	[22.209]
[128.5]	[22.225]
[128.6]	[22.242]
[128.7]	[22.259]
[128.8]	[22.275]
[128.9]	[22.292]
[129.0]	[22.308]
[129.1]	[22.325]
[129.2]	[22.342]
[129.3]	[22.358]
[129.4]	[22.375]
[129.5]	[22.391]
[129.6]	[22.408]
[129.7]	[22.425]
[129.8]	[22.441]
[129.9]	[22.458]
[130.0]	[22.474]
[130.1]	[22.491]
[130.2]	[22.508]
[130.3]	[22.524]
[130.4]	[22.541]
[130.5]	[22.557]
[130.6]	[22.574]
[130.7]	[22.590]
[130.8]	[22.607]
[130.9]	[22.623]
[131.0]	[22.640]
[131.1]	[22.656]
[131.2]	[22.673]
[131.3]	[22.689]
[131.4]	[22.706]
[131.5]	[22.722]
[131.6]	[22.739]
[131.7]	[22.755]
[131.8]	[22.772]
[131.9]	[22.788]
[132.0]	[22.805]
[132.1]	[22.821]
[132.2]	[22.838]
[132.3]	[22.854]
[132.4]	[22.871]
[132.5]	[22.887]
[132.6]	[22.904]
[132.7]	[22.920]
[132.8]	[22.936]
[132.9]	[22.953]
[133.0]	[22.969]
[133.1]	[22.986]
[133.2]	[23.002]
[133.3]	[23.019]
[133.4]	[23.035]
[133.5]	[23.051]
[133.6]	[23.068]
[133.7]	[23.084]
[133.8]	[23.100]
[133.9]	[23.117]
[134.0]	[23.133]
[134.1]	[23.150]
[134.2]	[23.166]
[134.3]	[23.182]
[134.4]	[23.199]
[134.5]	[23.215]
[134.6]	[23.231]
[134.7]	[23.248]
[134.8]	[23.264]
[134.9]	[23.280]
[135.0]	[23.297]
[135.1]	[23.313]
[135.2]	[23.329]
[135.3]	[23.345]
[135.4]	[23.362]
[135.5]	[23.378]
[135.6]	[23.394]
[135.7]	[23.411]
[135.8]	[23.427]
[135.9]	[23.443]
[136.0]	[23.459]
[136.1]	[23.476]
[136.2]	[23.492]
[136.3]	[23.508]
[136.4]	[23.524]
[136.5]	[23.540]
[136.6]	[23.557]
[136.7]	[23.573]
[136.8]	[23.589]
[136.9]	[23.605]
[137.0]	[23.621]
[137.1]	[23.638]
[137.2]	[23.654]
[137.3]	[23.670]
[137.4]	[23.686]
[137.5]	[23.702]
[137.6]	[23.718]
[137.7]	[23.735]
[137.8]	[23.751]
[137.9]	[23.767]
[138.0]	[23.783]
[138.1]	[23.799]
[138.2]	[23.815]
[138.3]	[23.831]
[138.4]	[23.847]
[138.5]	[23.864]
[138.6]	[23.880]
[138.7]	[23.896]
[138.8]	[23.912]
[138.9]	[23.928]
[139.0]	[23.944]
[139.1]	[23.960]
[139.2]	[23.976]
[139.3]	[23.992]
[139.4]	[24.008]
[139.5]	[24.024]
[139.6]	[24.040]
[139.7]	[24.056]
[139.8]	[24.072]
[139.9]	[24.088]
[140.0]	[24.104]
[140.1]	[24.120]
[140.2]	[24.136]
[140.3]	[24.152]
[140.4]	[24.168]
[140.5]	[24.184]
[140.6]	[24.200]
[140.7]	[24.216]
[140.8]	[24.232]
[140.9]	[24.248]
[141.0]	[24.264]
[141.1]	[24.280]
[141.2]	[24.296]
[141.3]	[24.311]
[141.4]	[24.327]
[141.5]	[24.343]
[141.6]	[24.359]
[141.7]	[24.375]
[141.8]	[24.391]
[141.9]	[24.407]
[142.0]	[24.423]
[142.1]	[24.438]
[142.2]	[24.454]
[142.3]	[24.470]
[142.4]	[24.486]
[142.5]	[24.502]
[142.6]	[24.518]
[142.7]	[24.533]
[142.8]	[24.549]
[142.9]	[24.565]
[143.0]	[24.581]
[143.1]	[24.597]
[143.2]	[24.612]
[143.3]	[24.628]
[143.4]	[24.644]
[143.5]	[24.660]
[143.6]	[24.675]
[143.7]	[24.691]
[143.8]	[24.707]
[143.9]	[24.722]
[144.0]	[24.738]
[144.1]	[24.754]
[144.2]	[24.770]
[144.3]	[24.785]
[144.4]	[24.801]
[144.5]	[24.817]
[144.6]	[24.832]
[144.7]	[24.848]
[144.8]	[24.864]
[144.9]	[24.879]
[145.0]	[24.895]
[145.1]	[24.910]
[145.2]	[24.926]
[145.3]	[24.942]
[145.4]	[24.957]
[145.5]	[24.973]
[145.6]	[24.988]
[145.7]	[25.004]
[145.8]	[25.020]
[145.9]	[25.035]
[146.0]	[25.051]
[146.1]	[25.066]
[146.2]	[25.082]
[146.3]	[25.097]
[146.4]	[25.113]
[146.5]	[25.128]
[146.6]	[25.144]
[146.7]	[25.159]
[146.8]	[25.175]
[146.9]	[25.190]
[147.0]	[25.206]
[147.1]	[25.221]
[147.2]	[25.237]
[147.3]	[25.252]
[147.4]	[25.268]
[147.5]	[25.283]
[147.6]	[25.298]
[147.7]	[25.314]
[147.8]	[25.329]
[147.9]	[25.345]
[148.0]	[25.360]
[148.1]	[25.375]
[148.2]	[25.391]
[148.3]	[25.406]
[148.4]	[25.421]
[148.5]	[25.437]
[148.6]	[25.452]
[148.7]	[25.467]
[148.8]	[25.483]
[148.9]	[25.498]
[149.0]	[25.513]
[149.1]	[25.529]
[149.2]	[25.544]
[149.3]	[25.559]
[149.4]	[25.575]
[149.5]	[25.590]
[149.6]	[25.605]
[149.7]	[25.620]
[149.8]	[25.636]
[149.9]	[25.651]
[150.0]	[25.666]
[150.1]	[25.681]
[150.2]	[25.696]
[150.3]	[25.712]
[150.4]	[25.727]
[150.5]	[25.742]
[150.6]	[25.757]
[150.7]	[25.772]
[150.8]	[25.787]
[150.9]	[25.802]
[151.0]	[25.818]
[151.1]	[25.833]
[151.2]	[25.848]
[151.3]	[25.863]
[151.4]	[25.878]
[151.5]	[25.893]
[151.6]	[25.908]
[151.7]	[25.923]
[151.8]	[25.938]
[151.9]	[25.953]
[152.0]	[25.968]
[152.1]	[25.983]
[152.2]	[25.998]
[152.3]	[26.013]
[152.4]	[26.028]
[152.5]	[26.043]
[152.6]	[26.058]
[152.7]	[26.073]
[152.8]	[26.088]
[152.9]	[26.103]
[153.0]	[26.118]
[153.1]	[26.133]
[153.2]	[26.148]
[153.3]	[26.163]
[153.4]	[26.178]
[153.5]	[26.193]
[153.6]	[26.207]
[153.7]	[26.222]
[153.8]	[26.237]
[153.9]	[26.252]
[154.0]	[26.267]
[154.1]	[26.282]
[154.2]	[26.297]
[154.3]	[26.311]
[154.4]	[26.326]
[154.5]	[26.341]
[154.6]	[26.356]
[154.7]	[26.370]
[154.8]	[26.385]
[154.9]	[26.400]
[155.0]	[26.415]
[155.1]	[26.429]
[155.2]	[26.444]
[155.3]	[26.459]
[155.4]	[26.474]
[155.5]	[26.488]
[155.6]	[26.503]
[155.7]	[26.518]
[155.8]	[26.532]
[155.9]	[26.547]
[156.0]	[26.562]
[156.1]	[26.576]
[156.2]	[26.591]
[156.3]	[26.605]
[156.4]	[26.620]
[156.5]	[26.635]
[156.6]	[26.649]
[156.7]	[26.664]
[156.8]	[26.678]
[156.9]	[26.693]
[157.0]	[26.707]
[157.1]	[26.722]
[157.2]	[26.736]
[157.3]	[26.751]
[157.4]	[26.765]
[157.5]	[26.780]
[157.6]	[26.794]
[157.7]	[26.809]
[157.8]	[26.823]
[157.9]	[26.838]
[158.0]	[26.852]
[158.1]	[26.867]
[158.2]	[26.881]
[158.3]	[26.895]
[158.4]	[26.910]
[158.5]	[26.924]
[158.6]	[26.938]
[158.7]	[26.953]
[158.8]	[26.967]
[158.9]	[26.981]
[159.0]	[26.996]
[159.1]	[27.010]
[159.2]	[27.024]
[159.3]	[27.039]
[159.4]	[27.053]
[159.5]	[27.067]
[159.6]	[27.081]
[159.7]	[27.096]
[159.8]	[27.110]
[159.9]	[27.124]
[160.0]	[27.138]
[160.1]	[27.152]
[160.2]	[27.167]
[160.3]	[27.181]
[160.4]	[27.195]
[160.5]	[27.209]
[160.6]	[27.223]
[160.7]	[27.237]
[160.8]	[27.252]
[160.9]	[27.266]
[161.0]	[27.280]
[161.1]	[27.294]
[161.2]	[27.308]
[161.3]	[27.322]
[161.4]	[27.336]
[161.5]	[27.350]
[161.6]	[27.364]
[161.7]	[27.378]
[161.8]	[27.392]
[161.9]	[27.406]
[162.0]	[27.420]
[162.1]	[27.434]
[162.2]	[27.448]
[162.3]	[27.462]
[162.4]	[27.476]
[162.5]	[27.490]
[162.6]	[27.504]
[162.7]	[27.517]
[162.8]	[27.531]
[162.9]	[27.545]
[163.0]	[27.559]
[163.1]	[27.573]
[163.2]	[27.587]
[163.3]	[27.600]
[163.4]	[27.614]
[163.5]	[27.628]
[163.6]	[27.642]
[163.7]	[27.656]
[163.8]	[27.669]
[163.9]	[27.683]
[164.0]	[27.697]
[164.1]	[27.711]
[164.2]	[27.724]
[164.3]	[27.738]
[164.4]	[27.752]
[164.5]	[27.765]
[164.6]	[27.779]
[164.7]	[27.793]
[164.8]	[27.806]
[164.9]	[27.820]
[165.0]	[27.833]
[165.1]	[27.847]
[165.2]	[27.861]
[165.3]	[27.874]
[165.4]	[27.888]
[165.5]	[27.901]
[165.6]	[27.915]
[165.7]	[27.928]
[165.8]	[27.942]
[165.9]	[27.955]
[166.0]	[27.969]
[166.1]	[27.982]
[166.2]	[27.996]
[166.3]	[28.009]
[166.4]	[28.023]
[166.5]	[28.036]
[166.6]	[28.049]
[166.7]	[28.063]
[166.8]	[28.076]
[166.9]	[28.090]
[167.0]	[28.103]
[167.1]	[28.116]
[167.2]	[28.130]
[167.3]	[28.143]
[167.4]	[28.156]
[167.5]	[28.169]
[167.6]	[28.183]
[167.7]	[28.196]
[167.8]	[28.209]
[167.9]	[28.222]
[168.0]	[28.236]
[168.1]	[28.249]
[168.2]	[28.262]
[168.3]	[28.275]
[168.4]	[28.288]
[168.5]	[28.302]
[168.6]	[28.315]
[168.7]	[28.328]
[168.8]	[28.341]
[168.9]	[28.354]
[169.0]	[28.367]
[169.1]	[28.380]
[169.2]	[28.393]
[169.3]	[28.406]
[169.4]	[28.419]
[169.5]	[28.432]
[169.6]	[28.445]
[169.7]	[28.458]
[169.8]	[28.471]
[169.9]	[28.484]
[170.0]	[28.497]
[170.1]	[28.510]
[170.2]	[28.523]
[170.3]	[28.536]
[170.4]	[28.549]
[170.5]	[28.562]
[170.6]	[28.574]
[170.7]	[28.587]
[170.8]	[28.600]
[170.9]	[28.613]
[171.0]	[28.626]
[171.1]	[28.639]
[171.2]	[28.651]
[171.3]	[28.664]
[171.4]	[28.677]
[171.5]	[28.690]
[171.6]	[28.702]
[171.7]	[28.715]
[171.8]	[28.728]
[171.9]	[28.740]
[172.0]	[28.753]
[172.1]	[28.766]
[172.2]	[28.778]
[172.3]	[28.791]
[172.4]	[28.803]
[172.5]	[28.816]
[172.6]	[28.829]
[172.7]	[28.841]
[172.8]	[28.854]
[172.9]	[28.866]
[173.0]	[28.879]
[173.1]	[28.891]
[173.2]	[28.904]
[173.3]	[28.916]
[173.4]	[28.929]
[173.5]	[28.941]
[173.6]	[28.953]
[173.7]	[28.966]
[173.8]	[28.978]
[173.9]	[28.991]
[174.0]	[29.003]
[174.1]	[29.015]
[174.2]	[29.028]
[174.3]	[29.040]
[174.4]	[29.052]
[174.5]	[29.065]
[174.6]	[29.077]
[174.7]	[29.089]
[174.8]	[29.101]
[174.9]	[29.113]
[175.0]	[29.126]
[175.1]	[29.138]
[175.2]	[29.150]
[175.3]	[29.162]
[175.4]	[29.174]
[175.5]	[29.186]
[175.6]	[29.199]
[175.7]	[29.211]
[175.8]	[29.223]
[175.9]	[29.235]
[176.0]	[29.247]
[176.1]	[29.259]
[176.2]	[29.271]
[176.3]	[29.283]
[176.4]	[29.295]
[176.5]	[29.307]
[176.6]	[29.319]
[176.7]	[29.331]
[176.8]	[29.343]
[176.9]	[29.355]
[177.0]	[29.367]
[177.1]	[29.378]
[177.2]	[29.390]
[177.3]	[29.402]
[177.4]	[29.414]
[177.5]	[29.426]
[177.6]	[29.438]
[177.7]	[29.449]
[177.8]	[29.461]
[177.9]	[29.473]
[178.0]	[29.485]
[178.1]	[29.496]
[178.2]	[29.508]
[178.3]	[29.520]
[178.4]	[29.531]
[178.5]	[29.543]
[178.6]	[29.555]
[178.7]	[29.566]
[178.8]	[29.578]
[178.9]	[29.589]
[179.0]	[29.601]
[179.1]	[29.612]
[179.2]	[29.624]
[179.3]	[29.636]
[179.4]	[29.647]
[179.5]	[29.658]
[179.6]	[29.670]
[179.7]	[29.681]
[179.8]	[29.693]
[179.9]	[29.704]
[180.0]	[29.716]
[180.1]	[29.727]
[180.2]	[29.738]
[180.3]	[29.750]
[180.4]	[29.761]
[180.5]	[29.772]
[180.6]	[29.784]
[180.7]	[29.795]
[180.8]	[29.806]
[180.9]	[29.817]
[181.0]	[29.829]
[181.1]	[29.840]
[181.2]	[29.851]
[181.3]	[29.862]
[181.4]	[29.873]
[181.5]	[29.885]
[181.6]	[29.896]
[181.7]	[29.907]
[181.8]	[29.918]
[181.9]	[29.929]
[182.0]	[29.940]
[182.1]	[29.951]
[182.2]	[29.962]
[182.3]	[29.973]
[182.4]	[29.984]
[182.5]	[29.995]
[182.6]	[30.006]
[182.7]	[30.017]
[182.8]	[30.028]
[182.9]	[30.039]
[183.0]	[30.050]
[183.1]	[30.060]
[183.2]	[30.071]
[183.3]	[30.082]
[183.4]	[30.093]
[183.5]	[30.104]
[183.6]	[30.114]
[183.7]	[30.125]
[183.8]	[30.136]
[183.9]	[30.147]
[184.0]	[30.157]
[184.1]	[30.168]
[184.2]	[30.179]
[184.3]	[30.189]
[184.4]	[30.200]
[184.5]	[30.211]
[184.6]	[30.221]
[184.7]	[30.232]
[184.8]	[30.242]
[184.9]	[30.253]
[185.0]	[30.263]
[185.1]	[30.274]
[185.2]	[30.284]
[185.3]	[30.295]
[185.4]	[30.305]
[185.5]	[30.316]
[185.6]	[30.326]
[185.7]	[30.336]
[185.8]	[30.347]
[185.9]	[30.357]
[186.0]	[30.367]
